,Job position,Company,Location,Dimension,Candidates,Post time,JavaScript,Python,C#,Ruby,.Net,SQL,Angular.js,React.js,Node.js,Java,Links,Body
0,Full Stack Software Engineer,Talkdesk,"Lisboa, Lisboa, Portugal",501-1.000 funcionários,8 candidatos,Anunciada há 2 semanas,0,0,0,0,0,0,0,1,0,0,https://www.linkedin.com/jobs/view/2180240391/?eBP=CwEAAAF3Ta4HHeshdUKH1Uq17eRK1GWTkCnfQMo0xTHOx9TPAdo-M1BaUDXhlWGBv8S2830OPbBS6l8wdWkMkomprrn5kWOQBICQniF7QNcXBkJZfYbxsLnr8ZdhJ1pADuz1HMks_SKS6LQbUJMIO5pOPvn1Kg8FakbOR7olSYGJDTwPopYILslXxm8PojS-2mcrtOqIflC3advYlWIEuNhuvrzhEItvXn1qqLGBQG1JyizIOZVhzIZ8sSgFDUP3qLy7nl22kmrxMTMCQ6LCuIA77Jg1UHPIld5tYk_wrcPvztpT4xfcgqJw4YP9s1fsEWWylDDG-C30qXpHswjpR8tlCeevrNRZhTM4sB0ufw&recommendedFlavor=SCHOOL_RECRUIT&refId=xY4WzlhndYBAt%2FXGrS5wvQ%3D%3D&trackingId=vvIs1owjJ7%2BlKhh1l8ixWA%3D%3D&trk=flagship3_search_srp_jobs,at talkdesk  we are disruptive risk-takers  don't have a traditional way of doing things  and will do whatever it takes to build a product that improves customer experiences  join the adventure and grow with us  with $268 million in funding and more than 1 800 customers  we’re revolutionizing the industry of contact centers  join a hyper-growth company that's innovative  bold  and ambitious  be a part of the future of technology and make an impact on an evolving industry  if you're a self-starter and hungry to learn  apply now and enjoy the ride   as a full stack software engineer  you will be an integral part of the professional services engineering team  delivering software that brings new customers to our platform and directly impacts our growth  you will develop web services  user interfaces and backend processes that connect talkdesk to various apis and datastores to allow our customers to provide the very best customer and agent experience on the talkdesk platform  you will also act as a technical resource for the professional services engineering team to help guide customers into the right solution  if you love learning new things and using cutting edge tech to solve real problems for our customers  you’ll be a perfect fit   responsibilities  the responsibilities of the full stack developer will include: the ability to solve problems and research solutions participate in design sessions with particular focus on asking questions and understanding why the team makes the design decisions that they do communicate and collaborate with teammates carry your load  help out  be flexible  and adapt easily to change learn the business domain and architecture of talkdesk and partners flexibility in learning and exploring new frameworks  languages and technologies   requirements b s  in engineering computer science or demonstrable experience required general knowledge of software design principles  building apis and cloud services minimum 2-4 years of relevant work experience must have: proficiency in one or more modern programming language nice to have - front end development experience  react framework    knowledge of a cloud platform like aws  google cloud or azure a passion for building new things and using technology and your creativity to come up with innovative and durable enterprise solutions mature demeanor and positive attitude  as well as discretion and sensitivity when dealing with clients ability to work cross-functionally in a fast-paced startup environment  the talkdesk story hinges on empathy and acceptance  it is the shared goal among all talkdeskers to empower a new kind of customer hero through our innovative software solution  and we firmly believe that the best path to success for our mission is inclusivity  diversity  and genuine acceptance  to that end  we will hire  promote  work along  cheer for  bond with  and warmly welcome into the talkdesk family all persons without regard to ethnic and racial identity  indigenous heritage  national origin  religion  gender  gender identity  gender expression  sexual orientation  age  disability  marital status  veteran status  genetic information  or any other legally protected status  nível de experiência assistente setor tecnologia da informação e serviços software internet tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
2,Full-stack Developer,BOLD by Devoteam,"Lisboa, Lisboa, Portugal",501-1.000 funcionários,91 candidatos,Anunciada há 4 meses,1,0,0,0,0,1,0,1,0,0,https://www.linkedin.com/jobs/view/1523466984/?eBP=CwEAAAF3Ta4HHeS5KG3edY_EGytmMHPoIdm42i-c_arOhwDwDcMTUMl0IhaQ6b64aN-2c_TEm0Zvq_qc-2_O-EtXxBADGl6FJxy8971d8wivWZuJrpoyVB5qa4fCHGnAcOBDodZLIoV53SVxZ7sE6Tonr0kmmFJo5XH9axvQ2KVyBrbKxF9UDWZsJlZ815pODvafffADRY4eUFtupORR3Kp64W3vfraR9bK2VebrcxipTsKUMbB_E9Gdw9-RFeg0PquQaynZ0kDTLGaufeIbjNr28TOcuhkWp5_e561DZ5vqONI_vlx9iM4rENM5_VHxlxgMfcQnK1HIipbMQP0N2mvJN0M_sl_JxYjjbHw&recommendedFlavor=SCHOOL_RECRUIT&refId=xY4WzlhndYBAt%2FXGrS5wvQ%3D%3D&trackingId=7lXhQR5motU4Ctof5Snwnw%3D%3D&trk=flagship3_search_srp_jobs,anunciada por joão maria costa 2° talent acquisition consultant at neotalent  novabase group envie inmail do you want to know what is means to be bold? being bold is driving into the technology world  inspired and inspiring  creating strong teams along the way and building roads for the next journey  enjoying every ride is part of our dna    we are driving technology  are you bold enough? if so  join us    do you have this profile? bachelor's degree in the it area or equivalent  experience with react   or other frontend javascript frameworks  experience with php development  unit testing experience  ci cd experience  git gitlab experience  knowledge of soap xml  rest  on  sql  tcp ip  fluency in english  written and spoken    what we’re offering: excellent opportunity to work in an international group  dynamic work environment  free access to language classes  english and french  and other training    still not sure if you will send your application to bold?   more than creating solutions  we push and inspire our people to go further and deliver innovation anytime  anywhere  so  here’s a little push – be bold  nível de experiência assistente setor tecnologia da informação e serviços tipo de emprego tempo integral funções de trabalho tecnologia da informação
4,Full stack Developer (React.js with PHP),BOLD by Devoteam,"Lisboa, Lisboa, Portugal",501-1.000 funcionários,64 candidatos,Anunciada há 1 dia,0,0,0,0,0,1,0,1,0,0,https://www.linkedin.com/jobs/view/1578895654/?eBP=CwEAAAF3Ta4HHY6t-kwS7ul9A-E_9wXWICVvvEwlSh--FgYy4oScyD73AihTRKXWUydiRaBkxwrT2vrkSmfHf9-EL6CxJ8NzWDK-Qtl2OpcdG-Mln_lSO6UUKSxihn7bUf6b4XFCfMOiLok7wLfpOOugScHMpSxAw3tPRh6-IqQbJKEpSk6wIspX2Ex2z8nqdJr7tH_tuJldpBlTJZcTGtooBVp64Ji2KTa6XHR7_jru4SrPswJtu84mjnCK0l3H480oF__cwTiSHjnvf9Q6SiTAO1_WBM5s-vcqOL9Eetex7HZWqBBSGWGbRdIWGsrBpk5TIGg-k5IOZ0gK4eBa_mUGujeFUUBz2sllnYrrIq_M&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=xY4WzlhndYBAt%2FXGrS5wvQ%3D%3D&trackingId=nhI4E6I0gKam%2FKcF0M8k5Q%3D%3D&trk=flagship3_search_srp_jobs,anunciada por carina cruz 2° talent spotter | bold by devoteam || recruiter & team worker || hiring it talent envie inmail the passion for what we do has no boundaries  our resilience is authentic and our courage is limitless when facing new challenges  we are proud of the culture we have built together  we are proud of our people at the service of technology  #techforpeople   our positioning about covid-19: due to the particular times we are facing and in order to protect our candidates and interviewers health and well being  all interviews will be held through video conference  we've created a remote onboarding process to ensure that new starters have all the knowledge they need to be able to start this new career phase   about the offer we are currently looking for a full stack developer  react   with php    the desired qualifications and skills are: higher education in computer engineering or similar  experience with react   experience with php development  unit testing experience  ci cd experience  knowledge of soap xml  rest  on  sql  tcp ip  knowledge of caching mechanisms  opcache  redis  memcached  …   knowledge of security mechanisms  oauth2 oidc   fluent in english  oral and written    these are our mindsets and what you can expect from us: fair & courageous we promote ask me anything sessions  a moment where any employee can question  suggest or share any topic live with the ceo  we have a referral program that financially recognizes our employees for helping the company grow  ambition & results we believe in supporting the personal and professional growth of our employees  that’s why we have a differentiated career path management supported by a transparent model  capable of identifying  developing and adding value to your skills  we’ve created a strategic gatherings concept  a moment where information about the company's performance is shared and where we discuss short-term prospects for the future  we are focused on a thought leadership program that aims to promote and develop our employees' talent  experience and passion for technology  learning & innovating we hold informal meetings to promote knowledge sharing moments between our employees and the technological community  we invest in the continuous training of our employees through technical and behavioral workshops  language classes  external funded training and certifications and by establishing partnerships with training providers  caring & sharing we created the blue angels  a social and environmental responsibility program that puts the solidarity of our employees at the service of the community  we love some good socializing moments and we hold as many as we can  from monthly themed meetings to family events  we never say no to a good party   about bold we are focused on developing and delivering innovative technological solutions through a unique combination of technology expertise and agility  maximizing business value for our clients  our focus when it comes to supporting our client’s digital journey is about clear choices that build & develop skills in a very targeted way  since 2018  bold by devoteam has been part of the devoteam group  a global leading player in digital transformation for leading organisations across emea  with a revenue of €761m  together  we share a common vision of transforming technology to create value for our clients  partners and employees in a world where technology is developed for people   want to apply? send me your cv to carinacruz@boldint com nível de experiência júnior setor tecnologia da informação e serviços tipo de emprego tempo integral funções de trabalho tecnologia da informação
6,Full Stack Developer,Tecmic,"Lisboa, Lisboa, Portugal",51-200 funcionários,1 candidato,Anunciada há 6 dias,0,0,1,0,1,1,0,0,0,0,https://www.linkedin.com/jobs/view/2390988178/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=xY4WzlhndYBAt%2FXGrS5wvQ%3D%3D&trackingId=Be20yTHkco7r5%2FiupJoetA%3D%3D&trk=flagship3_search_srp_jobs,full stack developer  m f   descrição geral  a tecmic é uma multinacional portuguesa com mais de 30 anos de experiência que fornece soluções tecnológicas inovadoras de comando  de controlo e de gestão de equipas  operações  meios e ocorrências  estas soluções incluem uma visão global da localização e monitorização dos veículos em tempo real  aumentando assim a segurança e a qualidade do serviço prestado aos nossos clientes   procuramos um colaborador para integrar a nossa equipa de desenvolvimento de software web   perfil requerido   competências técnicas microsoft  net  c#  asp net mvc  entity framework  nhibernate  web services  restfull  soap  wcf  sql & sgbd microsoft sql server testes unitários e integração valorizam-se conhecimentos e ou formação em android e ou ios html     css e c# ambiente microsoft  net o candidato deve gostar de trabalhar em equipa gostar de aprender e evoluir ser orientado a resultados ser proactivo e criativo oferece-se condições remuneratórias compatíveis com o cargo e experiência integração em equipa dinâmica entrada imediata resposta para  poderá encontrar o anúncios original publicado em: nível de experiência assistente setor marketing e publicidade tecnologia da informação e serviços software tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
8,Full-Stack Developer,Olisipo,"Lisboa, Lisboa, Portugal",201-500 funcionários,0 candidatos,Anunciada há 2 dias,1,0,0,0,0,0,0,0,0,1,https://www.linkedin.com/jobs/view/2398978029/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=xY4WzlhndYBAt%2FXGrS5wvQ%3D%3D&trackingId=DMOojm9egspLctb0%2FP%2FFpA%3D%3D&trk=flagship3_search_srp_jobs,full-stack developer:olisipo descrição do emprego: full-stack developer id:  8950962  data   09-10-2020  empregador   olisipo  país da emprego   portugal  distrito   lisboa  categoria s    informática e tecnologias descrição da empresa a olisipo é uma das principais e mais sólidas referências nacionais como talent recruiter  talent builder e talent care na área das tecnologias de informação   a nossa missão é encontrar o melhor projeto para cada pessoa e  para cada empresa  o melhor talento na área das tecnologias de informação   #connectingitpeople  descrição do anúncio  apaixonados por desafios e ambiciosos na procura de soluções  a nossa it-tude é orientada pela excelência nos projetos e pela relação próxima com os nossos colaboradores  with our people  it works better!  desejamos um full-stack developer para integrar um projecto em lisboa   perfil 6 anos de experiência em java  experiência em arquitectura de sistemas  conhecimento em desenvolvimento back-end  hibernate  e front-end  javascript ou primefaces   experiência no desenvolvimento de webservices  conhecimento de polling services  pollers   experiência com bases de dados  capacidade de análise e criação de solução tendo em conta o sistema como um todo  autonomia no processo de desenvolvimento  oferece-se acompanhamento personalizado focado na gestão de carreira  formação e certificação contínua e personalizada  através do nosso learning center  solidez  confiança e crescimento  pacote salarial com benefícios competitivo  nível de experiência assistente setor tecnologia da informação e serviços software recrutamento e seleção tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
10,.Net Developer,Apside,"Aveiro, Portugal",1.001-5.000 funcionários,23 candidatos,Anunciada há 1 semana,0,0,1,0,1,1,1,1,0,0,https://www.linkedin.com/jobs/view/2365543180/?eBP=CwEAAAF3Ta4HHZPngj4o4Pl1sx3VGdD9cvIDkuXhsaTgKuPeRjXl-CIUHh77H82uik3YhEpRNwIgBz9CtqnJlBp4Ji7hU3XeBvK1vILjwKxm_H0mWuJ8vGwXwst6dJarSuH8VKIJa5RS4ClurGWJCpfgFDH5Od2I2gApMNOLEuMYyIB646wv-yV31UzKgSx22KmUwoknfMHa3kkPSROXi7-Le4x4g4Kd3CKg2znk1cmtLexoYgwr07tcKKX0gsOMmc0LYm5L3Gf0YWonP0hf_7oRRamXKmYs8NG6st47gnufmPv5InufYy0idqi91obWtq7plqwTk3umHAZDP-qdLKQIPJTnrLJmYy1alq0H7w&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=xY4WzlhndYBAt%2FXGrS5wvQ%3D%3D&trackingId=c1%2BLxiUrfjeZkt%2BV8QVyAA%3D%3D&trk=flagship3_search_srp_jobs,4 main values which guide us daily commitment at every step transparency for effective communication conscientious and locally accessible partners sharing the apside spirit  key responsibilities: develop and maintain new and existent applications develop with clean code principles in mind work within multidisciplinary and multi geographically distributed teams work in international projects availability to travel sporadically   main skills: bs   associate degree in computer science or similar minimum of 3 4 years of experience using  net   net core  c# or asp net  vue    react and skills valued in angular  frontend full stack  knowledge about xaml  wpf and mvvm good knowledge of sql  mysql  sql server or other relational db  knowledge of soa rest architecture micro services architecture  azure or cloud experience is valued scrum experience or in other agile methodology git versioning experience fluent spoken and written english  written and spoken french is a plus team player   our job offer: negotiable salary good working environment young and dynamic team challenges and opportunities to grow personally career management work with international projects opportunities to travel nível de experiência pleno-sênior setor tecnologia da informação e serviços tipo de emprego contrato funções de trabalho outro
12,Frontend Software Engineer,Salsify,"Lisboa, Lisboa, Portugal",201-500 funcionários,14 candidatos,Anunciada há 2 semanas,1,0,0,1,0,0,0,0,0,0,https://www.linkedin.com/jobs/view/2355643981/?eBP=CwEAAAF3Ta4HHRtMC8zsCF9ygsurVs26P23zdmFGXZzI5UAyFWysGJRrwMgvhtKzonejJKqLxbbb0cZ614F3Ah0VH6dBS9v-a7ZPQmJt4DX3zlHeAua-un62gA82h0kdTMY9WJPVBgUVgw7eu3vegSAiVtaue4CzalTN66tSJSZCpwbMf6PeIvSzN9z2rBpbL5xm4nQfMiSkP1nsJzQdVvdn2BGLt_cS7t91HZyrDiX4QrQZ-Aoj6Z-mHxhodzVa0hnmA-nq8jdzfPZPZOgH_J2g17XITrfkaSs_Tl1l-GFZHPowoy-dNdkR2OYulDieW0q_1Zy8yR9kDnl_4r7GHxxrYVvN8HlCpRjxh5NNK9WZ&recommendedFlavor=SCHOOL_RECRUIT&refId=xY4WzlhndYBAt%2FXGrS5wvQ%3D%3D&trackingId=9gJSAX4nwxEjhqHD1VmjJQ%3D%3D&trk=flagship3_search_srp_jobs,salsify empowers brand manufacturers to win on the digital shelf by delivering the commerce experiences consumers demand anywhere they choose to shop online  the world's biggest brands including mars  l'oreal  coca-cola  bosch  and gsk use salsify every day to stand out on the digital shelf  to date  salsify has raised a total of $198 1 million in funding  led by warburg pincus  venrock  matrix partners  greenspring associates  underscore vc  and north bridge   for more information  please visit: http:  www salsify com   we're looking for talented and passionate frontend and full-stack developers who want to be part of joining our foundations d2c team  the team has been leading the development of our new digital asset management experience and we want to take the next step in scaling the team and making it even more successful as we tackle new challenges around d2c   as a software engineer at salsify you will be entrusted to innovate and constantly improve our products to deliver a platform and experience our customers love to use  you will solve complex business and scalability problems and help define the direction of the product as well as work across the entire salsify technology ecosystem like building back-end services and apis in ruby and graphql  front-end and micro front-ends in ember and interacting directly with our engineering  product and support teams to deliver exceptional customer-value  our engineers are simultaneously scaling a demanding application while simplifying complex business processes for our users and learning from top engineers along the way   we deeply value our engineering culture  we strongly emphasize clarity  competence and autonomy  we care about building the right thing  the right way  and having fun while we do it  every member of our team has the freedom and responsibility to make salsify a great place to work   how you'll make an impact build and ship production-grade software  set technical direction and help define the technical approach for the work the team takes on  work closely with product and engineering management to help define the product roadmap  collaborate with go-to-market teams to launch new functionality  grow as a leader both on the team and within the broader engineering organization  mentor new team members as the team grows  participate in tech talks and guilds to exchange ideas and strategies that advance our ability to build quality software  be proud of what you work on  learn from and give back to your team and the broader salsify community - contribute to the success of an exciting and fast growing boston-based company with global customers    you'll enjoy this role if you have experience in javascript typescript  html  and css  we use ember but it’s ok if you haven’t! experience building and debugging single page web applications powered by  on graphql  working knowledge of modern web frameworks  we are built on a ruby and ember stack  comfort transforming ux mockups into semantic markup and performant interfaces  experience building consumer facing applications in a saas or product-based company  specializing in front-end development  nice to have  foundational knowledge of computer science and software design principles  familiarity with test driven development and continuous integration  experience with contemporary frameworks  build tools  and testing tools  an interest in exchanging ideas around building robust  secure  maintainable software  comfort providing and receiving feedback on implementation ideas  thoughtful opinions about efficient and secure deployment practices    salsify’s mission is to empower brand manufacturers to win on the digital shelf   helping brand manufacturers to win online is what we do  our culture is who we are  we are empowered  we are positive thinkers  we take action  we care deeply  these values have driven salsify’s growth and earned the company numerous top workplace awards   we are headquartered in boston and have hubs in lisbon  portugal   chicago and remote offices around the globe  if you are excited to work in a fast-paced environment with a team that values agility  curiosity and passion  we want to hear from you!  salsify loves a good success story and it would be our privilege to help write yours! we recognize that talent and potential come in all forms and that years of experience does not guarantee on the job effectiveness or leadership potential  our hiring process involves recognizing a person’s achievements  subject matter expertise  and passion  not just check marks next to a job description  if you have an interest in our roles please do not hesitate to apply - we would be happy to speak with you!  salsify is committed to being an equal opportunity employer  we believe that diverse perspectives yield strong and happy teams  our employees and customers win when we have a variety of opinions and experiences  if you have a disability  require a religious accommodation or if there is anything we can do to make you more comfortable during our recruitment process  please let us know at talent@salsify com   nível de experiência assistente setor marketing e publicidade software internet tipo de emprego temporário funções de trabalho engenharia tecnologia da informação
14,Software Engineer .NET/Full Stack,Zühlke Group,"Porto, Porto, Portugal",Check link,21 candidatos,Anunciada há 2 semanas,1,0,0,0,1,0,1,1,0,0,https://www.linkedin.com/jobs/view/2381521415/?eBP=CwEAAAF3Ta4HHWJKqc3asBG86PgqiMdsZdrds7z4MM5jhxkgWaW-2Mc3BibNX-n3tTAuAQCa2PW0wWgBytpMJGezhKqA631KVGYdngptcVczIxmhzXIY_JjHtQkhCi1SVPBnuH4r4FR4QRa5MYnxyD75XNDg70D6UYXMepx3AQ-wJLmyt0bHGjp_RxCN7SfZI8FPaZFPIJORYJersfh4BTvEIBpHXRIji2tKgPLQESJ0kWFYKYn29thXq6wrlGkIRv-205Hx9f4Fh2j6nNL4FjFi3S19QqKtsfoMSGNd_0WaG12hbfprnq7KRVPzQIM7EIP9Bt7fRQseeSrg7tu3GppBCh8YckJrnEjgxBu2DGW9oPOKBEFXRfYH9XpnTFPjk3VdyZ2I9bRFLeo&recommendedFlavor=SCHOOL_RECRUIT&refId=xY4WzlhndYBAt%2FXGrS5wvQ%3D%3D&trackingId=2PAQvHvQgTvJUhZcNFPx2Q%3D%3D&trk=flagship3_search_srp_jobs,who we are  zühlke is an innovation company and helps corporates and start-ups to turn their idea into customer value and therefore market success  we develop financially successful products  services and business models for today’s digital world – from coming up with the initial idea through to the implementation and operation  we can achieve this by drawing on the experience of over 1000 in-house experts and of more than 10 000 successful projects   zühlke portugal is an attractive employer that offers challenging career opportunities for skilled  highly motivated software engineers  within the zühlke group  we position ourselves as a center of expertise for distributed  agile software development  together with colleagues in switzerland  germany  the uk  austria  serbia  bulgaria  singapore and hong kong we work on challenging software projects involving the latest technologies and variety of known practices   we are currently looking for highly motivated software engineers to join and build our team in porto   why zühlke work in an international client-based environment along with the leading experts in the industry family & wellbeing package - family health insurance  adjustable workload  80-100%  and flexible working hours personal development plan shaped to your needs unique opportunity to make an impact in the early phase of building up a new zühlke location clear career path and defined personal goals with achievement-based career prospects projects based in porto with opportunities to travel or working temporarily at other zühlke locations your talent  you should have a technical related degree and or equivalent professional qualification  communicative and openminded personality and be fluent in english  both written and oral    required skills strong technical skills in  net ecosystem good understanding of database systems basic understanding of web technologies solid understanding of oop concepts  design patterns and the ability to express concepts visually  e g  uml  c4  advantages experience with cloud platforms  aws  azure  experience in developing web applications using javascript frameworks  e g  angular  react  working in an agile team  with a good understanding of the concepts  practical experience experience with automated testing frameworks like nunit  specflow  selenium  jasmine or similar experience with configuring and using ci cd tools like azure devops  gitlab  jenkins  teamcity or similar  your role solving complex problems directly communicating with customers and guiding them towards success working closely with your local and remote colleagues in agile setup creating high-quality solutions while adapting to customer requirements being curious  open-minded  and standing by your ideas nível de experiência assistente setor tecnologia da informação e serviços software internet tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
16,- Full Stack Developer,Polarising,"Lisboa, Lisboa, Portugal",Check link,4 candidatos,Anunciada há 3 meses,0,0,0,0,0,0,0,0,0,0,https://www.linkedin.com/jobs/view/2294137561/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=xY4WzlhndYBAt%2FXGrS5wvQ%3D%3D&trackingId=ZoUGmLTrztCw6De4V%2BMofw%3D%3D&trk=flagship3_search_srp_jobs,apply for a job at polarising   contact polarising for tech that works  nível de experiência assistente setor tecnologia da informação e serviços software atendimento ao consumidor tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
18,Junior Fullstack Developer,Celfocus,"Lisboa, Lisboa, Portugal",Check link,15 candidatos,Anunciada há 1 semana,0,0,1,0,1,1,1,0,1,0,https://www.linkedin.com/jobs/view/2383615847/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=xY4WzlhndYBAt%2FXGrS5wvQ%3D%3D&trackingId=%2FQQxzxSJ0kMuElAJr7F%2FSQ%3D%3D&trk=flagship3_search_srp_jobs,make an impact by working for sectors where technology is the enabler  where everything is ground-breaking and there’s a constant need to be innovative  be part of the team that combines business knowledge  technological edge and a design experience - who complement and help each other in developing solutions and experiences for digital clients  face challenges and learn other ways of thinking and seeing the world  there’s always room for your energy and creativity   about the role  we are looking for a junior fullstack developer to join our team in lisbon  you will be part of our banking team  that is responsible for managing financial industry verticals  creating specialized products and managed services on core systems   you will integrate our shared services team  supporting and implementing new features in several technologies with emphasis on the client’s c# net applications as well as c#  3 0 4 5 core  web applications   what are we looking for?  knowledge of relational databases  knowledge of object-oriented programming and web applications  strong motivation to learn new technologies and new concepts  nice to have knowledge of: c# net sql oracle  net core angular node   vb vb net c    mfc   personal traits ability to adapt to different contexts  teams and clients teamwork skills but also sense of autonomy motivation for international projects and ok if travel is included willingness to collaborate with other players strong communication skills  we want people who like to roll up their sleeves and open their minds  believe this is you? come join the team! nível de experiência assistente setor tecnologia da informação e serviços software segurança de redes e computadores tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
