,Job position,Company,Location,Dimension,Candidates,Post time,JavaScript,Python,C#,Ruby,.Net,SQL,Angular.js,React.js,Node.js,Java,Links,Body
0,Full Stack Developer,Check link,"Lisboa, Lisboa, Portugal",Check link,0 candidatos,Anunciada há 1 semana,0,0,1,0,1,1,0,0,0,0,https://www.linkedin.com/jobs/view/2389476770/?eBP=JOB_SEARCH_ORGANIC&refId=rqbGjhCFwLHPpDOqnGttqQ%3D%3D&trackingId=c4ufAOckqhpi15AbQ50LMw%3D%3D&trk=flagship3_search_srp_jobs,full stack developer  m f   descrição geral  a tecmic é uma multinacional portuguesa com mais de 30 anos de experiência que fornece soluções tecnológicas inovadoras de comando  de controlo e de gestão de equipas  operações  meios e ocorrências  estas soluções incluem uma visão global da localização e monitorização dos veículos em tempo real  aumentando assim a segurança e a qualidade do serviço prestado aos nossos clientes   procuramos um colaborador para integrar a nossa equipa de desenvolvimento de software web   perfil requerido   competências técnicas microsoft  net  c#  asp net mvc  entity framework  nhibernate  web services  restfull  soap  wcf  sql & sgbd microsoft sql server testes unitários e integração valorizam-se conhecimentos e ou formação em android e ou ios html     css e c# ambiente microsoft  net o candidato deve gostar de trabalhar em equipa gostar de aprender e evoluir ser orientado a resultados ser proactivo e criativo oferece-se condições remuneratórias compatíveis com o cargo e experiência integração em equipa dinâmica entrada imediata resposta para  api:2a02:c207:2011:6863::1:39d709ee33eeea0d83c8d79b54067c81:2021-01-28 17:57:21 nível de experiência assistente setor marketing e publicidade tecnologia da informação e serviços software tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
2,Full Stack Developer,Smart Consulting,"Porto, Porto, Portugal",Check link,2 candidatos,Anunciada há 3 dias,1,0,0,0,0,0,1,1,1,0,https://www.linkedin.com/jobs/view/2394658675/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=rqbGjhCFwLHPpDOqnGttqQ%3D%3D&trackingId=XpR0mM6XVaqn0L%2FhVFgbMg%3D%3D&trk=flagship3_search_srp_jobs,o mundo pode estar cheio de oportunidades  para tornares reais os teus objetivos de carreira nas áreas de it e de telecomunicações  existe apenas uma: smart ! se és apaixonado por tecnologia  queres superar os mais complexos desafios e acrescentar valor em projetos altamente inovadores  do que é que estás à espera? smart consulting  the smart way to do it   o que é preciso para seres um smart fullstack developer? formação superior em engenharia informática ou similar  experiência em desenvolvimento com javascript  html e css  conhecimentos frameworks  react  vue ou angular   conhecimentos de node    bons conhecimentos de inglês  falado e escrito   porquê ser smart? tornamos reais os projetos em que participamos amamos o que fazemos  e temos orgulho no resultado do nosso trabalho somos simples e eficientes valorizamos as nossas pessoas somos uma equipa dinâmica  íntegra e de confiança onde podes ser smart? porto  aveiro ou coimbra  tens um perfil smart? envia o teu curriculum vitae para   com a referência fsd_pac nível de experiência assistente setor tecnologia da informação e serviços software internet tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
4,Full Stack Web Developer,Latourrette Consulting,"Aveiro, Aveiro, Portugal",Check link,5 candidatos,Anunciada há 3 semanas,1,0,0,0,1,1,0,1,0,0,https://www.linkedin.com/jobs/view/2374264425/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=rqbGjhCFwLHPpDOqnGttqQ%3D%3D&trackingId=P%2FUTPPFl4wB17xFaTuffEg%3D%3D&trk=flagship3_search_srp_jobs,descrição das funções queres estar na vanguarda da automação inteligente? és um a  profissional motivado a  e com sólida experiência no desenvolvimento e entrega de sistemas digitais complexos e implementações de projectos? então é a ti que procuramos para se juntar à nossa equipa como um a full stack web developer!  requisitos licenciatura em informática  sistemas de informação ou um campo relacionado min  2 anos de experiência conhecimentos de:html  css  javascript react   restful services net core 2 e superior entity framework core  sql   motivado a  para trabalhar com soluções tecnológicas inovadoras em ambientes internacionais competências analíticas e demultitasking capacidade de reflexão crítica e de resolução de problemas autónomo a   organizado a  e comunicativo a   vantagens possibilidade de teletrabalho   remote a tempo inteiro pertencer a uma equipa que procura valorizar e reconhecer cada indivíduo  uma equipa dinâmica e flexível que recompensa o mérito e o talento  promovendo o espírito de equipa  a boa vontade e a interacção participação em projectos internacionais desafiantes e altamente inovadores formação contínua e desenvolvimento de carreira oportunidade de carreira a longo prazo  estabilidade e trabalho dentro de um ambiente competitivo que promove o crescimento profissional e pessoal  envia o teu cv para  poderá encontrar o anúncios original publicado em: https:  www itjobs pt oferta 368763 full-stack-web-developer nível de experiência assistente setor tecnologia da informação e serviços mídia online recursos humanos tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
6,Full-Stack Engineer,KWAN,"Lisboa, Lisboa, Portugal",Check link,1 candidato,Anunciada há 1 semana,0,1,1,0,0,0,0,0,0,1,https://www.linkedin.com/jobs/view/2386186645/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=rqbGjhCFwLHPpDOqnGttqQ%3D%3D&trackingId=1UpjZpwdjG4T1SNDP9rHnQ%3D%3D&trk=flagship3_search_srp_jobs,we are currently looking forward to hire an enthusiastic full-stack engineer to be hired by our client directly   who we are  as part of rupeal group  kwan is an it staffing company which specialises in the art of professional fulfilment  making sure that anyone who works with us  from clients  to candidates  to consultants  is in the right path for achieving their motivations!  our client is a software house with headquarters in london with core business in software consulting   they are looking for a person with the following requirements: at least 8 years of experience as a full-stack developer strong technical background in one or more programming languages  such as python  java  clojure  kotlin  c# enthusiastic about agile techniques  tdd  bdd  continuous integration  continuous delivery  fluent in english what we offer an opportunity for you to join to join an amazing international team a flexible schedule and remote work opportunity to travel continuous training and career development competitive benefit package are you ready?  click in the link below to apply  poderá encontrar o anúncios original publicado em: https:  www itjobs pt oferta 368429 full-stack-engineer nível de experiência assistente setor tecnologia da informação e serviços software recrutamento e seleção tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
8,PHP Developer Full Stack (m/f),SmartDigit,"Lisboa, Lisboa, Portugal",Check link,0 candidatos,Anunciada há 3 semanas,1,0,0,0,0,1,1,0,1,0,https://www.linkedin.com/jobs/view/2392046867/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=rqbGjhCFwLHPpDOqnGttqQ%3D%3D&trackingId=pinbrQGIgwYQnm7H3SGE0g%3D%3D&trk=flagship3_search_srp_jobs,a smartdigit é uma empresa de desenvolvimento de software empresarial que procura um profissional para desempenhar funções de php developer para integrar num projeto de uma aplicação saas multiplataforma para diversos clientes em todo o mundo   responsabilidades desenvolvimento de novos serviços e melhorias das funcionalidades existentes  pesquisa e implementação de novas tecnologias e ferramentas no ambito do projeto  colaboração e envolvimento numa pequena equipa de desenvolvimento   qualificações  um pouco sobre ti 3 ou mais anos de experiencia em desenvolvimento web  experiência comprovada com javascript  es6   php frameworks  preferencialmente laravel   scss css  docker  sql  espírito de iniciativa e atenção aos detalhes  criativo a   inovador a  e com espírito de equipa  aprendiz rápido  novas linguagens   tecnologias  e disposto a melhorar a si mesmo  apaixonado por desenvolvimento de software  boa capacidade de comunicação  organização  facilidade de relacionamento interpessoal   damos valor aos conhecimentos metodologias agile  cloud services  aws  azure  etc   experiencia jira  bitbucket e cd ci  module builder  webpack  grunt   express  socket io  mongo  oauth  angular  node    oferecemos remuneração de acordo com a experiência demonstrada  tipo de contrato: sem termo  enquadramento numa empresa baseada nas relações  na inovação  na simplicidade e eficiência  excelente ambiente de trabalho criativo e colaborativo  oportunidade de integrar uma empresa jovem e ambiente internacional  seguro de saúde  formação inicial e contínua  flexibilidade no horário de trabalho e trabalho remoto   envie a sua candidatura por email para  local de trabalho: linda-a-velha  nota: apenas iremos considerar as candidaturas de cidadãos da união europeia ou com autorização de residência em portugal para exercício de atividade profissional subordinada   web:54 183 199 59:linkedinbot 1 0  compatible  mozilla 5 0   http:  www linkedin com :2021-01-29 05:45:57 nível de experiência assistente setor tecnologia da informação e serviços software internet tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
10,Full Stack Developer (m/f),WIFI4MEDIA,"Faro, Faro, Portugal",Check link,2 candidatos,Anunciada há 1 semana,1,1,0,0,0,0,0,1,0,0,https://www.linkedin.com/jobs/view/2388866972/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=rqbGjhCFwLHPpDOqnGttqQ%3D%3D&trackingId=OrOO%2BKlMQSCVZHSsoE575w%3D%3D&trk=flagship3_search_srp_jobs,somos uma empresa especializada em desenvolvimento de software onde garantimos soluções adequadas a cada projecto desenvolvido   procuramos para nossos escritórios de faro e ou lisboa experiência mínima de 2 anos em desenvolvimento aplicacional conhecimentos de linguagens de scripting  php  python  conhecimentos em base de dados  mysql e mongodb  conhecimentos em react native conhecimentos em html  css  javascript  bootstrap  experiência em sistemas vcs  preferência git  experiencia em web services e api’s boa capacidade de trabalho em equipa  oferecemos integração numa empresa em expansão internacional  nível salarial compatível com o desempenho  regalias sociais de acordo com a política da empresa  formação e desenvolvimento profissional  contacta!  web:54 183 199 59:linkedinbot 1 0  compatible  mozilla 5 0   http:  www linkedin com :2021-01-29 05:42:17 nível de experiência assistente setor tecnologia da informação e serviços software internet tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
12,Oferta de emprego: .NET Fullstack Developer (M/F) Porto,TalentSeed,"Porto, Porto, Portugal",Check link,0 candidatos,Anunciada há 3 semanas,0,0,1,0,1,0,0,0,0,0,https://www.linkedin.com/jobs/view/2395624106/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=rqbGjhCFwLHPpDOqnGttqQ%3D%3D&trackingId=mRMAb9JEjxnqQwAAJOe1kA%3D%3D&trk=flagship3_search_srp_jobs,oferta de emprego:  net fullstack developer  m f  porto:talentseed  descrição do emprego net fullstack developer  m f  porto » talentseed  » ref: 7176373  » 4-1-2021  » porto  » informática   programação    detalhe da oferta  o seedsgroup  é constituído por duas empresas  talentseed e itseeds  talentseed   empresa galardoada com prémio excelência rh em startups nos prémios rh2017  protocolada com a ordem dos psicólogos  que está a revolucionar o mercado de trabalho  permitindo às empresas acesso a plataformas e serviços online inovadores de gestão de talento   a itseeds é uma startup portuguesa com mentalidade global  especializada na criação de soluções customizadas na área de tecnologias e sistemas de informação  seja através de projectos de consultoria  outsourcing ou nearshore  temos uma vasta experiência na criação de plataformas tecnológicas inovadoras   somos uma equipa jovem  fun e com uma grande paixão pelo que fazemos! a inovação e apresentação de soluções tecnológicas são a nossa missão   a talentseed está neste momento a recrutar para  net fullstack developer  m f  porto  desafio  o nosso cliente é uma empresa com competências na implementação e no desenvolvimento de sistemas de informação  presta ainda serviços de consultoria de soluções  procura neste momento um  net fullstack developer para integrar os quadros da empresa   referência da oferta  o candidato ideal deverá ter formação em engenharia informática ou similar e mais de 2 anos de experiência profissional  deverá possuir sólidos conhecimentos das tecnologias microsoft   net  c#  e base de dados sqlserver  para além disso  serão valorizados conhecimentos em asp net  webapi’s e windows forms   candidate-se através do link: br  > nível de experiência assistente setor tecnologia da informação e serviços recrutamento e seleção recursos humanos tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
14,Full-Stack Developer .Net AWS (m/f),Mind Source,"Lisboa, Lisboa, Portugal",Check link,0 candidatos,Anunciada há 1 semana,0,0,0,0,1,0,1,0,0,0,https://www.linkedin.com/jobs/view/2390301738/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=rqbGjhCFwLHPpDOqnGttqQ%3D%3D&trackingId=T98uBxTTiYIEdYAwYH6V2A%3D%3D&trk=flagship3_search_srp_jobs,"com mais de 10 anos de existência  somos uma equipa especializada em projetos de consultoria em diversas áreas dentro do mundo das ti  business analytics  development  governance    investimos diariamente para sermos uma das melhores empresas para trabalhar  tendo sido distinguidos no ranking do great place to work com o 1º lugar na categoria das empresas com 100 a 500 colaboradores e melhor empresa na categoria de liderança  destacamo-nos pelas práticas de gestão positiva dos nossos talentos e pelo elevado grau de compromisso sentido pela nossa equipa   visita a nossa homepage e junta-te aos nossos talentos!  descritivo da função  a mind source está a reforçar a sua equipa de development  para projetos com base em  net na cloud   perfil licenciatura em informática ou áreas equivalentes  experiência profissional em projectos de desenvolvimento em  net  html5 e css  angular 2   conhecimentos sólidos nos produtos amazon web services  conhecimentos de microserviços e frameworks de automatização de testes  fluência em inglês  capacidade para estabelecer relações interpessoais comunicação  responsável e autónomo  espírito criativo  empreendedor e gosto pelo ‘desafio’  quem somos consultora de tecnologias de informação e processos de negócio atuamos nas áreas de business analytics  development e governance 12 anos experiência 200 talentos great place to work há 9 anos consecutivos parceiros dos melhores fabricantes  sas  outsystems  microsoft  uma marca rumos consulting porquê a mind source contrato de trabalho formação profissional credenciada mentoring acompanhamento nos projetos e aconselhamento de carreira - talent management foco na progressão de carreira e crescimento desenvolvimento de projetos inovadores e aliciantes integração numa equipa jovem e dinâmica regista-te e envia-nos o teu cv detalhado através do nosso portal de emprego ou     nota: apenas serão consideradas as candidaturas que contenham a indicação ""it jobs"" na opção ""conhecimento da oferta"" ou referência acima indicada    web:54 183 199 59:linkedinbot 1 0  compatible  mozilla 5 0   http:  www linkedin com :2021-01-29 05:47:13 nível de experiência assistente setor tecnologia da informação e serviços software consultoria de gerenciamento tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação"
16,AnÚNcio De Emprego: .Net Fullstack Developer - Opo,Red IT,"Porto, Porto, Portugal",Check link,0 candidatos,Anunciada há 4 dias,1,0,1,0,1,1,1,0,0,0,https://www.linkedin.com/jobs/view/2398368456/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=rqbGjhCFwLHPpDOqnGttqQ%3D%3D&trackingId=P%2BM0C2%2BIzKdQx6OrpCTTgA%3D%3D&trk=flagship3_search_srp_jobs,distrito: porto - concelho: porto referência da oferta: red it referência da oferta: tempo inteiro referência da oferta: 15-6-2020 zona porto referência da oferta: informática   programação    referência da oferta  esta pode ser a tua oportunidade  tu decides  keywords:  net  c#  asp net   net core  html  css  javascript  sql server  azure  tfs   net development  se tens experiência consolidada em desenvolvimento  net fullstack experiência superior a 3 anos em c#  asp net  conhecimentos de  net core  experiência com html  css e javascript  conhecimentos de angular em ambientes microsoft  net conhecimentos sólidos de sql server  conhecimentos sólidos em azure e tfs boa capacidade analítica e de resolução de problemas experiência em ambientes agile  se és da zona norte e agora procuras uma oportunidade como  net fullstack developer  decide pelo melhor  a equipa ? é top  queres apostar? o acompanhamento ? follow up contínuo  estamos sempre ao teu lado  o espírito ? trabalhar e ser feliz? provamos-te que é possível! o desenvolvimento profissional ? um novo mundo à tua disposição  vem escolher por onde ir  wolfpack ? descobre o que é ser red  todos os dias!  ainda não te convencemos? vamos tirar-te todas as dúvidas  responder às tuas questões e mostrar-te que porque não há melhor equipa do que a nossa  candidata-te agora através de *** candidatura online *** e vem conhecer a red  nível de experiência assistente setor tecnologia da informação e serviços software internet tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
18,Oferta de emprego: Full Stack Developer,Tecmic,"Leiria, Leiria, Portugal",Check link,2 candidatos,Anunciada há 1 mês,0,0,1,0,1,1,0,0,0,0,https://www.linkedin.com/jobs/view/2385495819/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=rqbGjhCFwLHPpDOqnGttqQ%3D%3D&trackingId=4MZc199j13bDT2HD4yHdeQ%3D%3D&trk=flagship3_search_srp_jobs,oferta de emprego: full stack developer:tecmic - tecnologias de microelectrónica  sa  descrição do emprego  full stack developer » tecmic - tecnologias de microelectrónica  sa  » ref: 7111553  » 22-11-2020  » leiria  » informática   programação    detalhe da oferta  full stack developer  m f   descrição geral  a tecmic é uma multinacional portuguesa com mais de 30 anos de experiência que fornece soluções tecnológicas inovadoras de comando  de controlo e de gestão de equipas  operações  meios e ocorrências  estas soluções incluem uma visão global da localização e monitorização dos veículos em tempo real  aumentando assim a segurança e a qualidade do serviço prestado aos nossos clientes   referência da oferta: um colaborador para integrar a nossa equipa de desenvolvimento de software   perfil requerido   competências técnicas formação superior em engenharia informática ou similar android e ou ios  xamarin  android studio  xcode  etc   microsoft  net  c#  asp net mvc  entity framework  nhibernate  web services  restfull  soap  wcf  sql & sgbd microsoft sql server testes unitários e integração valorizam-se conhecimentos e ou formação em android e ou ios html     css e c# ambiente microsoft  net desenvolvimento multiplataforma xamarin o candidato deve ter experiência profissional mínima de 1 ano  em funções similares gostar de trabalhar em equipa gostar de aprender e evoluir ser orientado a resultados ser proactivo e criativo referência da oferta condições remuneratórias compatíveis com o cargo e experiência integração em equipa dinâmica entrada imediata local base de trabalho: leiria responder para: *** candidatura online *** nível de experiência assistente setor tecnologia da informação e serviços software internet tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
