,Job position,Company,Location,Dimension,Candidates,Post time,JavaScript,Python,C#,Ruby,.Net,SQL,Angular.js,React.js,Node.js,Java,Links,Body
0,Full Stack Developer,KWAN,"Braga, Braga, Portugal",51-200 funcionários,0 candidatos,Anunciada há 2 semanas,1,0,0,0,0,0,1,1,1,0,https://www.linkedin.com/jobs/view/2382374557/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=BqnjaoGkz%2BjJKLW8ZHFMaA%3D%3D&trackingId=p%2B4vvTLcsxQajs90xsMklw%3D%3D&trk=flagship3_search_srp_jobs,we are currently looking forward to hire a smart and enthusiasticfull stack developer  as part of rupeal group  kwan is an it staffing company which specialises in the art of professional fulfilment  making sure that anyone who works with us  from clients  to candidates  to consultants  is in the right path for achieving their motivations!  experience and skills needed to do that thing you love: experience with javascript associated frameworks such as angular 2   node    react and redux  experience with typescript  sequelize and express    experience with kubernetes docker  familiarity with git  maven or jenkins  5 years of experience  valid eu work permit  fluent in english   what are the benfits? loads of work  transparency free tech events  health insurance  summer sessions party  what happens in summer sessions  stays in summer sessions   why else? amazing culture  free coffee and unlimited holidays  apply in the link  poderá encontrar o anúncios original publicado em: https:  www itjobs pt oferta 368332 full-stack-developer nível de experiência assistente setor tecnologia da informação e serviços software recrutamento e seleção tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
2,Senior Software Engineer - Portugal,Buildium,"Porto, Porto, Portugal",201-500 funcionários,4 candidatos,Anunciada há 3 meses,1,0,1,0,0,1,1,1,0,0,https://www.linkedin.com/jobs/view/2256058385/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=BqnjaoGkz%2BjJKLW8ZHFMaA%3D%3D&trackingId=iEpxjEK8icYicdUVREchZA%3D%3D&trk=flagship3_search_srp_jobs,buildium is looking for smart  driven  enthusiastic software engineers to join our team in porto  portugal  our core product is an all-in-one property management platform designed for real estate professionals to take control of their business by streamlining their accounting  maintenance  communication  and leasing processes in the cloud   as a senior software engineer  you'll be part of a cross-functional product team delivering new features to our client base of over 18 000 property managers and housing associations  this is a great chance to be part of a growing organization that is dedicated to engineering best practices and processes as well as continually providing opportunities for professional growth   responsibilities work in two-week sprints building new features and enhancing existing features of the buildium platform using technologies like c#  asp net web api  angular  and mysql  full stack design and development with a focus on maintainability  usability  scalability and performance  be a positive influence on the team through technical reviews  collaborating with other developers on the team  and ensuring adherence to coding and testing standards  work closely with product managers to understand the future business direction with the goal of architecting the platform optimally  work closely with technical leads and other stakeholders to develop project plans and participate in resource planning  contribute ideas and work on solutions to evolve our ci cd processes and tools  maintain a high awareness of industry issues and trends  particularly in regard to web technologies   net  microservices  cloud computing  aws   and automated unit testing  participate in our engineering guilds  focus groups  and tech talks to contribute to the research and implementation of new technologies  tools  and architectural patterns    qualifications fluency in english with strong written and oral communication skills 5  years of experience in developing customer facing software self-motivated and willing to work through problems without obvious answers hands-on experience with c#   net 4 5  net core  asp net mvc web api and javascript frameworks like angular  react  and or vue hands-on experience working with creating and consuming rest web services and apis experience working with writing sql queries and designing databases  mysql is a plus  understanding of source code management tools such as git  and the workflows associated with them  branching and merging  excellent presentation and facilitation skills experience with aws docker or similar cloud platforms also a plus   what we offer competitive salary opportunity to work in a small  innovative startup environment health insurance free weekly team lunches  fresh fruit  coffee and drinks professional development opportunities diverse distributed team in the us and india  working at buildium is unlike any other gig you've ever had  with offices in the us  portugal and india  you will be interacting daily with colleagues distributed all around the world  we’re casual  open  innovative and collaborative  as a company that empowers their employees to do the right thing  you will find that buildium’s drive to be the best is contagious   buildium is an equal employment opportunity employer and considers qualified applicants without regard to gender  sexual orientation  gender identity  religion  race  veteran or disability status  we celebrate diversity and are committed to building an inclusive work environment where all employees feel a sense of belonging while bringing their authentic self to the table and being valued for it  nível de experiência júnior setor tecnologia da informação e serviços software internet tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
4,Full Stack Developer (M/F),InnoWave,"Lisboa, Lisboa, Portugal",201-500 funcionários,0 candidatos,Anunciada há 1 mês,1,0,1,0,0,1,1,1,1,0,https://www.linkedin.com/jobs/view/2366750409/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=BqnjaoGkz%2BjJKLW8ZHFMaA%3D%3D&trackingId=lvcsP93az%2BkF1QOYzqtELg%3D%3D&trk=flagship3_search_srp_jobs,full stack developer  m f :innowave technologies  s a  descrição do emprego: full stack developer  m f  id:  8897875  data   18-09-2020  empregador   innowave technologies  s a   país da emprego   portugal  distrito   lisboa  categoria s    informática e tecnologias  intervalo salarial   informação exclusiva jobmatch descrição da empresa innowave is a global technology and consulting company  a facilitator of innovative and skilled people  and a hub for innovative solutions   innowave is a problem solver  an idea incubator  and a dream builder   with clients around the world office in five locations  innowave provides a unique range of solutions and products that add value to our costumer’s business national and international   our team is made up of passionate professionals spread across the world  dedicated to delivering a global delivery model in our three areas of innovation  digital transformation  technology  and products   sure  we are proud of the work we do  but more importantly  we are motivated by changing lives through innovation descrição do anúncio : innowave is looking for a full stack developer to support our client's digital transformation and it system consolidation journey  based in denver  colorado   the program involves creating new or modifying existing business processes and customer experiences to meet changing business and market requirements  additionally  the program also includes consolidating it systems  obtained through multiple acquisitions  into fewer and more advanced systems   the first phases target rebuilding the orchestration layer  a new low-code no-code middleware layer  billing consolidation   simplification  and improving several customer experience journeys   full stack developer  m f   skills & experience  » degree in informatics engineering  computer science or in similar areas  » minimum of 3 years’ work experience in the similar roles  » experience with c# and  net framework  » experience with databases  sql server and or oracle   » experience with sitefinity cms  » experience with appian low-code platform  » good knowledge of programming languages for frontend and backend systems  javascript  angular  react   and node     » knowledge in cloud solutions  aws   » good knowledge of agile methodologies  » excellent capacity to work autonomously or integrated in a team  » good problem-solving and analytical skills  » proactivity and ability to adapt in a context in which priorities often change  » developed sense of responsibility  oriented to customer solutions and associated improvements  » telecommunications and telco bss  billing  experience are a nice to have  » fluent in english - written and spoken  mandatory   innowave gives equal opportunity in employment regardless of gender  gender identity  sexual orientation  marital status  race  nationality  religion  age  disability  political beliefs  or any other factor  innowave will not pay fees to any third-party agency or company that does not have a signed agreement  do not submit resumes curriculum vitae's directly   by answering to this job post  you consent the use of your data by innowave group  for as long as necessary  we conduct regular data-cleansing and updating exercises to make sure the information we have is relevant and accurate  if you have any doubt or request to make relatively to your personal data  please send an e-mail  nível de experiência assistente setor tecnologia da informação e serviços software consultoria de gerenciamento tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
6,Software Engineer Specialist | Lisbon,Loggi,"Lisboa, Lisboa, Portugal",1.001-5.000 funcionários,34 candidatos,Anunciada há 5 dias,0,1,0,0,0,0,0,0,0,0,https://www.linkedin.com/jobs/view/2334141942/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=BqnjaoGkz%2BjJKLW8ZHFMaA%3D%3D&trackingId=PoqZhp1s3fmMkAq9EOoKow%3D%3D&trk=flagship3_search_srp_jobs,"description  _ our business  through technology  mobile  ai  automation  iot   we have created a next-generation logistics network and we are  in an unprecedented way  positioning ourselves to unleash the growth of a new trade in brazil with a fast  cost-effective and reliable logistics solution   by the end of 2021  we want to be present in all brazilian cities and reach the milestone of 5 million deliveries per day by 2025   with softbank  microsoft  ggv capital and others  the new investment round has brought loggi’s valuation up to us$1 billion hitting the unicorn mark!  “our mission is to deliver everything to everyone everywhere as quickly as possible  we want to connect brazil and value  for example  amazonian handicrafts  enabling artisans to sell without intermediaries to consumers in any region ”  fabien mendez  ceo - chief executive officer   _ our engineering team  loggi’s engineering team is focused on solving highly complex problems  mixing up very experienced professionals and early career employees  in a fortified environment by learning  sharing of experiences and respect  together  we will build the logistics network of the country  developing unique algorithms  systems and processes   our leaders have already left their mark in the national and worldwide tech scenario  working in companies like google and uol  they are engaged in finding how to develop a group of more than a thousand programmers to explore the knowledge borders and connect the country   we believe and invest in everyone's potential  ""over the next 5 years we want to train brazil’s future ctos! here  we have a structured development program ""  davi reis  cto - chief technology officer   requirements  _ responsibilities  you will architect and develop high quality scalable solutions  being part of multidisciplinare squads seeking an amazing and efficient experience for the users!  as the technical focus point on a squad  we’ll count on you on the development of ideas and solutions that solve complex problems and generate great results for the team   loggi’s engineering team works with a wide variety of technologies and techniques to solve our challenges  we try to see beyond the buzzwords to develop software in a pragmatic and efficient way   to spark your curiosity  we work on python django  kotlin micronaut  predictive models trained with sklearn and keras tensorflow  native and hybrid apps  and pwas  algorithms of optimization based on or-tools  systems in azure and aws  with and without kubernetes  in addition we also use looker and elk for dashboards and analysis   _ requirements 10  years of relevant work experience in software development or 7  years in academic   technical field  regardless of language technology   1 year leading technical teams and projects  good knowledge of algorithms and data structure  experience working in a collaborative way with squads and tribes  engineers  product managers and designers   autonomy  analytical mindset  problem solving abilities supported by best practices in coding  willingness to work full-stack and easy transition between technologies and languages  being a technical reference in a product or technology  familiarity with agile trends    benefits  _ our benefits  for a healthier life  we provide you  health plan with national coverage  without discounts!  dental plan  also without discounts!  flexible hours with the possibility of working at home according to function and demand discounts of up to 75% in gyms all over brazil fresh fruit every day at the office  we support you with  above average remuneration of the best technology companies in brazil  with annual reviews eligibility for stock options meal voucher and transportation voucher with symbolic discount of r$ 1 possibility of payroll loan after 3 months of company  we develop you with  us$ 3 300 for technical development per year immersion week in all areas of the company  our famous xboarding frequent knowledge exchanges with internal and external professionals individual development plan updated every six months feedback culture and opportunity to work according to the squad concept working with big names in the history of technology in brazil possibility to develop new algorithms with the challenge of creating the new generation of logistics  we help parents with  health and dental plan for children at no extra cost 6-month maternity leave and 20-day paternity leave daycare allowance of r$ 457 per child up to 5 years of age  some of our offices also have  massage  manicure  pedicure at reduced costs pet day game rooms with video games  pool and others locker room and spaces to store your bike or scooter safely marketplace selling quick meals  drinks and snacks  _ our culture  inclusive  determined and visionary: that's who we are and how we work here   we are already more than 1000 loggers  we are hi-tech  little conservative and we are always up to date! above all  we hope that everyone is eager to learn and acquire new knowledge quickly   we look for an increasingly inspiring and welcoming work environment  and we very much hope that you will help us to maintain our culture even at an accelerated pace of growth   we are very happy to be recognized among the best startups to work according to linkedin and glassdoor  among the 10 most innovative startups by forbes brasil and also to be certified by great place to work   being part of loggi must mean that you can be who you are - or want to be  we look for a more accessible country  thus  we can say that respecting the needs of different people is our reason for existing  this is history  it is culture  it is respect   important: all loggi jobs are also open to people with disabilities  pwd    this job description is written in english because we already have a technology office in europe  and as we are hiring professionals from all over the world  you can have interactions with professionals who do not speak portuguese   essa descrição de vaga está escrita em inglês porque nós já temos um escritório de tecnologia na europa e  como estamos contratando profissionais de todo o mundo  você pode ter interações com profissionais que não falam português   let's go together? nível de experiência assistente setor internet recursos humanos serviços financeiros tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação"
8,Full-Stack Developer .Net Aws,Mind Source,"Lisboa, Lisboa, Portugal",51-200 funcionários,0 candidatos,Anunciada há 1 semana,0,0,0,0,0,0,1,0,0,0,https://www.linkedin.com/jobs/view/2394043742/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=BqnjaoGkz%2BjJKLW8ZHFMaA%3D%3D&trackingId=I3yAucZvsL5fNNvNOHNWaQ%3D%3D&trk=flagship3_search_srp_jobs,"com mais de 10 anos de existência  somos uma equipa especializada em projetos de consultoria em diversas áreas dentro do mundo das ti  business analytics  development  governance   investimos diariamente para sermos uma das melhores empresas para trabalhar  tendo sido distinguidos no ranking do great place to work com o 1º lugar na categoria das empresas com 100 a 500 colaboradores e melhor empresa na categoria de liderança  destacamo-nos pelas práticas de gestão positiva dos nossos talentos e pelo elevado grau de compromisso sentido pela nossa equipa   visita a nossa homepage e junta-te aos nossos talentos!  descritivo da função  a mind source está a reforçar a sua equipa de development  para projetos com base em  net na cloud   perfil licenciatura em informática ou áreas equivalentes  experiência profissional em projectos de desenvolvimento em  net  html5 e css  angular 2   conhecimentos sólidos nos produtos amazon web services  conhecimentos de microserviços e frameworks de automatização de testes  fluência em inglês  capacidade para estabelecer relações interpessoais comunicação  responsável e autónomo  espírito criativo  empreendedor e gosto pelo ‘desafio’  quem somos consultora de tecnologias de informação e processos de negócio atuamos nas áreas de business analytics  development e governance 12 anos experiência 200 talentos great place to work há 9 anos consecutivos parceiros dos melhores fabricantes  sas  outsystems  microsoft  uma marca rumos consulting porquê a mind source contrato de trabalho formação profissional credenciada mentoring acompanhamento nos projetos e aconselhamento de carreira - talent management foco na progressão de carreira e crescimento desenvolvimento de projetos inovadores e aliciantes integração numa equipa jovem e dinâmica regista-te e envia-nos o teu cv detalhado através do nossoportal de empregoou   nota:apenas serão consideradas as candidaturas que contenham a indicação ""it jobs"" na opção ""conhecimento da oferta"" ou referência acima indicada   poderá encontrar o anúncios original publicado em: https:  www itjobs pt oferta 370875 full-stack-developer-net-aws nível de experiência assistente setor tecnologia da informação e serviços software recrutamento e seleção tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação"
10,Full-Stack Developer (m/f),COCUS AG,"Porto, Porto, Portugal",51-200 funcionários,4 candidatos,Anunciada há 5 dias,1,1,0,0,0,1,1,1,1,1,https://www.linkedin.com/jobs/view/2392046536/?eBP=JOB_SEARCH_ORGANIC&refId=BqnjaoGkz%2BjJKLW8ZHFMaA%3D%3D&trackingId=ER3q03EadezEmFrtckGEnw%3D%3D&trk=flagship3_search_srp_jobs,at cocus we are working at the critical intersection of it and business  true to our name cocus – company for customers – we are proud to develop tailored solutions focus on the internet of things  blockchain  data analytics and information security  our customers are world-leaders in der respective industries – telecommunications  tourism  media  automotive  transport and logistics – impacting the life of millions across the world   to help our customers shape the future  we need the brightest minds today  this is a fantastic opportunity for someone with the passion to explore and the right experience to apply that passion and knowledge to the solutions we offer our customers  and experience one truly international  fun and productive working environment   what you will be doing developing front end website architecture design user interactions on web pages developing back end applications and microservices investigate and deliver technology in order to implement structured and resilient solution architectures capable of handling tomorrow’s demands active scrum team member  following the framework’s ways of working and ceremonies drive quality & performance improvements by promoting new working practices prototyping agree technical design and interfaces with application team and solution designers effectively communicate progress and impediments within the scrum attend & contribute to all agile ceremonies   what we are looking for bachelor’s degree or equivalent in computer science or similar proficiency with fundamental front end languages such as html  css and javascript experience with javascript associated frameworks such as angular    node    react and redux familiarity with server languages such as python  java  php and  net familiarity with database technology such as sql  mysql and mongobd familiarity with tdd  bdd and testing libraries and frameworks experience with api tools like postman understanding of restful principles fluent in written and spoken english passion for great technology and user experience good problem solving skills   what will be a plus familiarity with: git  maven or jenkins atlassian stack  jira  confluence  bitbucket  familiarity with aws and google cloud services experience with: typescript  sequelize and express kubernetes docker   what we can offer you the opportunity to work in innovative projects for global projects in a fast-paced environment where you can have a direct impact on the solution application web:13 57 176 210:linkedinbot 1 0  compatible  mozilla 5 0   http:  www linkedin com :2021-01-28 05:40:21 nível de experiência assistente setor tecnologia da informação e serviços software internet tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
12,Full Stack Software Engineer - Entitlements,Truphone,"Lisboa, Lisboa, Portugal",201-500 funcionários,10 candidatos,Anunciada há 3 meses,0,0,0,0,0,0,0,1,0,1,https://www.linkedin.com/jobs/view/2255454611/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=BqnjaoGkz%2BjJKLW8ZHFMaA%3D%3D&trackingId=BzwTAW5v%2BHrdNdnoy9VWBQ%3D%3D&trk=flagship3_search_srp_jobs,main purpose of the role  you will be part of a young development team accountable for the product delivery and in-life management of our entitlements server product  which means that we have the opportunity and skillset to cover from mobile apps to backend layers  a full-stack team  open-minded  eager to learn and experiment with new technologies  we valor teamwork and embrace a devops culture fully owning our deliverables  meaning we are both autonomous and accountable for them  highly focus on our customers and determined to build and deliver a value proposition   key responsibilities develop features and improvements to the entitlement server product in a secure  well-tested  and performant way you'll work within an agile framework team to iterate on new features within the entitlement server product assist the roadmap management with quality estimates promoting an effective management of expectations craft code that meets our internal standards for style  maintainability  and best practices for a high-scale web environment  promote code quality  readability and high tests coverage  maintain and advocate for these standards through code review as a strong contributor  be able to deliver small incremental features often contribute to the implementation of an architecture that is resilient  scalable  secure and fault tolerant confidently and autonomously ship features and improvements with minimal guidance and support from other team members  collaborate with the team on larger projects you'll be accountable for the outcomes of your work  and will ensure that end to end flows do not get broken by your contributions  promote seamless integration of the new features into the existing codebase you'll help identify areas of improvements in the code base  both specific to your group and outside your group  eg  component library  and help contribute to make it better implement the necessary procedures and metrics for an effective monitoring on the platform document the solution and flows requirements proven experience in backend software development in java or golang  and react on the frontend knowledgeable of high standards and patterns for software implementation proficient with rest apis  both in implementing the interfaces and consuming proven experience with relational databases familiar with ci cd flows  git  docker and kubernetes proven analytical  problem-solving and troubleshooting skills good understanding of cloud services and scalable infra-structure good knowledge of security risks menacing web platforms experience with performance and optimization problems and a demonstrated ability to both diagnose and prevent these problems ability to work autonomously but reach out immediately if blocked comfort working in a highly agile  intensely iterative software development process an inclination towards communication  inclusion  and visibility positive and solution-oriented mindset effective communication skills regularly achieve consensus with peers and clear status updates self-motivated and self-managing  with strong organizational skills fluent in the english language  both written and spoken demonstrated capacity to clearly and concisely communicate about complex technical  architectural  and or organizational problems and propose thorough iterative solutions nível de experiência pleno-sênior setor tecnologia da informação e serviços software telecomunicações tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
14,Full-Stack Developer,Match Profiler,"Porto, Porto, Portugal",51-200 funcionários,0 candidatos,Anunciada há 2 semanas,0,0,0,0,0,1,0,0,0,0,https://www.linkedin.com/jobs/view/2382377421/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=BqnjaoGkz%2BjJKLW8ZHFMaA%3D%3D&trackingId=1517twFKhE9bdT1NxKNDaA%3D%3D&trk=flagship3_search_srp_jobs,a match profiler é uma consultora de sistemas de informação que atua desde 1999 no mercado nacional e internacional  temos competências multidisciplinares e know-how na área de it que nos permite contribuir  otimizar e progredir com os nossos clientes  para integrar equipa do nosso cliente estamos de momento a recrutar profissionais com o seguinte perfil: full-stack developer  m f  - porto  requisitos licenciatura em informática ou similar  preferencialmente  conhecimentos de desenvolvimento unix shell script  bons conhecimentos de pl sql  experiencia em desenvolvimento de  net  conhecimentos de oracle  reports e oracle database tuning   experiência em metodologias agile  disponibilidade imediata  o que nós podemos proporcionar terás um acompanhamento personalizado por parte da tua equipa  o teu manager vai estar atento às tuas motivações e sugestões  as vitórias e conquistas serão festejadas em conjunto  acompanhamento da nossa equipa de recursos humanos e suporte  feedback constante do teu trabalho  e como é óbvio bastantes convívios  para responder a esta oportunidade  envie-nos o seu cv  com indicação da referência ba fs c para o seguinte endereço de email nota: processo de seleção & recrutamento e integração em contexto pandémico - covid 19 dado o paradigma atual que vivemos  e de forma a assegurar um ambiente seguro e saudável para os nossos candidatos e equipa de recrutamento  as primeiras entrevistas serão realizadas por chamada telefónica ou vídeo conferência  a match profiler encontra-se preparada para acompanhar a integração dos novos colaboradores de forma remota e semi presencial  e apoiá-los nesta nova fase da sua carreira profissional  poderá encontrar o anúncios original publicado em: https:  www itjobs pt oferta 366403 full-stack-developer nível de experiência assistente setor tecnologia da informação e serviços software recrutamento e seleção tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
16,Senior Full Stack Developer,Indie Campers,"Lisboa, Lisboa, Portugal",51-200 funcionários,3 candidatos,Anunciada há 2 meses,1,0,0,1,0,0,0,0,0,0,https://www.linkedin.com/jobs/view/2319724064/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=BqnjaoGkz%2BjJKLW8ZHFMaA%3D%3D&trackingId=jytK7QrKomnA0XsZk5kkcQ%3D%3D&trk=flagship3_search_srp_jobs,what started off as a 3 van rental company in portugal  brought to reality in 2013  has become europe’s largest campervan rental company  with a fleet of 1 000  vehicles  indie campers currently operates over 40 locations across portugal  spain  france  italy    sicily & sardinia   germany  netherlands  switzerland  belgium  croatia  the uk  ireland  iceland  austria  sweden and opening more destinations at any moment   aiming to provide travellers with the ultimate road trip experience  indie campers offers the opportunity to start a journey in one location and end it in any of our other depots across europe   the indie campers product and technology team creates new features for our customers to go on amazing road trips in all of europe by developing our website and booking platform  as part of the technology team in this rapidly growing business  you will develop products used by our customers  teams and partners  if you get excited about building new things  solving problems  and being part of a high-growth and diverse company  this might be your next career step  we need our technology team to be flexible and to take ownership over projects as we push our technology forward   what you’ll do create  build  improve and optimize our systems  by implementing new practices in continuous integration and delivery  build customer-faced features that will increase sales revenue and create great experiences for our travellers  ensure quality of our products and work closely with our product team to establish scalable solutions  work in a team that supports your individual growth by providing you with challenging tasks and the freedom to take new opportunities    who you are 3  years of product development work  3  years of work with agile methodologies  solid understanding of web application architecture and all of its layers  experienced working with ruby on rails  javascript  vue   coding  testing  debugging and automation techniques  you are comfortable with deploying and operating as a technical leader or mentor  report directly to our head of engineering and commit to constant learning and improvement  fluent in english  organized and self-sufficient  ability to work with clojure is a plus  nível de experiência júnior setor indústria automotiva internet lazer  viagens e turismo tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
18,Java FullStack Developer (m/f),Noesis,"Lisboa, Lisboa, Portugal",501-1.000 funcionários,0 candidatos,Anunciada há 1 dia,1,0,0,0,0,0,1,0,0,1,https://www.linkedin.com/jobs/view/2397378934/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=BqnjaoGkz%2BjJKLW8ZHFMaA%3D%3D&trackingId=apnOOMf1qzRFXxA1J1hg4A%3D%3D&trk=flagship3_search_srp_jobs,founded in 1995  noesis is a leading international technology consultant  offering services and solutions to support its clients in digital transformation and business development  in order to create sustainable value across all sectors  it provides infrastructure  software  quality and people-centric solutions with over 850 highly skilled talent in the most demanding technologies   noesis is looking for professionals with the following profile 4 years of experience developing java spring web application  expert in java jee development  deep knowledge of the java eco-system: web services  jax-ws  spring mvc  rest  on   spring framework  spring boot  jpa   hibernate  good knowledge in angular 2   bootstrap   html5   javascript   css  cloud   docker   kubernetes  at least  had contact with it and aims to learn it   excellent level of english  both written and verbal  autonomous  rigorous with a high personal commitment  be curious and proactive searching for new solutions  be critical and constructive on the analysis of the solution  aims to learn and use the latest technologies   if you meet these requirements and are interested in joining an audacious and innovative company  please send us a copy of your cv to   including the job reference ij_006__1_21_3187  please check to see all opportunities we currently have open  or feel free to send us a spontaneous application  join us  let’s innovate together!  web:13 57 176 210:linkedinbot 1 0  compatible  mozilla 5 0   http:  www linkedin com :2021-01-28 05:39:51 nível de experiência assistente setor tecnologia da informação e serviços software recrutamento e seleção tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
