,Job position,Company,Location,Dimension,Candidates,Post time,JavaScript,Python,C#,Ruby,.Net,SQL,Angular.js,React.js,Node.js,Java,Links,Body
0,Senior Web Developer,ToucanTech,"Lisboa, Lisboa, Portugal",11-50 funcionários,27 candidatos,Anunciada há 1 semana,1,0,0,0,0,0,0,0,0,0,https://www.linkedin.com/jobs/view/2386147363/?eBP=JOB_SEARCH_ORGANIC&refId=G8eQtrB4GKn9LPjE98VcSQ%3D%3D&trackingId=nerdCzyeCA%2F3gRkpxX1okQ%3D%3D&trk=flagship3_search_srp_jobs,start date as soon as possible  reporting to lead developer & product director  salary competitive  location lisbon  remote  cascais co-work   other perks 22 paid days holiday per year    national holidays  fun working environment  training and support  annual bonus opportunity and some flexibility over working hours and location  we are toucantech  a fast-growing saas community database software used by schools  charities and companies to manage their memberships  alumni  fundraising  marketing and careers activities  with 200 customers internationally  we provide an easy all-in-one system that combines a powerful admin portal  for managing records and content  with a flexible website  for community members to login and interact  and mobile app   requirements  we are looking for a talented  smart and enthusiastic developer with at least 3 years experience to join our team helping to enhance our software and build exciting new features  you’ll need the following coding experience  required skills php mysql css html5 javascript good level of english to communicate with team and to document work   desirable skills previous experience of api design development  app dev  flutter  and automated testing scripts code review - experience with git  github bootstrap and mobile ui jquery   benefits  salary % package  this is a full-time contractor position with a competitive salary and 22 paid holiday days a year in addition to public holidays in portugal  we will conduct a salary review after 6 months of working in the company and provide the opportunity for fast career growth  an annual bonus linked to company performance and ad hoc bonuses based on personal performance   some of the benefits of this role full stack experience - manage the coding process from start to finish flexible working hours and style training and support to develop your skills and career regular team events  meetups and birthday cake!  the application  we will ask you to complete a coding test as part of the application process   we are not able to sponsor non-eu work visas  so you must have the right to work in the eu  portugal   thank you! nível de experiência júnior setor marketing e publicidade tecnologia da informação e serviços software tipo de emprego tempo integral funções de trabalho tecnologia da informação
2,Oferta De Emprego: Fullstack Developer (M/F)? Lisboa,Ankix,"Lisboa, Lisboa, Portugal",11-50 funcionários,0 candidatos,Anunciada há 4 dias,0,0,1,0,0,0,0,0,0,0,https://www.linkedin.com/jobs/view/2398370161/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=G8eQtrB4GKn9LPjE98VcSQ%3D%3D&trackingId=SZYPjWSQVDl4edOu04Z1kA%3D%3D&trk=flagship3_search_srp_jobs,distrito: lisboa - concelho: lisboa referência da oferta: ankix referência da oferta: tempo inteiro referência da oferta: 8-4-2020 zona lisboa referência da oferta: informática   programação    referência da oferta  a ankix é uma empresa de competências tecnológicas  a atuar no mercado desde 1999  que presta serviços nas áreas de it outsourcing e consultoria   desenvolvimento à medida  o nosso posicionamento carateriza-se pela qualidade e inovação das soluções que propomos  assim como pela dedicação e orientação para o cliente e suas necessidades  acreditamos que são as pessoas que fazem as empresas  pelo que apostamos continuamente na nossa equipa e na promoção de uma cultura de integração e partilha!  estamos a recrutar para empresa o seguinte perfil  fullstack developer  m f  ? lisboa licenciatura em engenharia informática ou similar  experiência profissional mínima de 2 anos na área  conhecimentos em asp net  c# e t-sql  autonomia e sentido de responsabilidade  espírito por trabalho em equipa e capacidade de iniciativa  capacidade de comunicação  bons conhecimentos de inglês  o que podes esperar de nós na nossa empresa  terás bastante acompanhamento semanal e mensal  o teu manager vai estar atento às tuas motivações e sugestões  tens acesso à plataforma online que podes tirar as formações que pretenderes  as vitórias e conquistas serão festejadas em conjunto  acompanhamento da nossa equipa de recursos humanos e suporte  feedback constante do teu trabalho  e como é óbvio bastantes eventos ?? vem conhecer-nos e depois tiras as tuas conclusões!  para responder a esta oportunidade  envie-nos o seu cv  com indicação da referência ep fd b para o seguinte endereço de email *** candidatura online *** nível de experiência assistente setor tecnologia da informação e serviços software recursos humanos tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
4,Java Developer,Decskill,"Lisboa, Lisboa, Portugal",201-500 funcionários,0 candidatos,Anunciada há 3 semanas,0,0,0,0,0,0,0,0,0,1,https://www.linkedin.com/jobs/view/2398990918/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=G8eQtrB4GKn9LPjE98VcSQ%3D%3D&trackingId=mvEd1l2Q5g0fdVc9poKMPg%3D%3D&trk=flagship3_search_srp_jobs,"java developer:decskill - tecnologias de informação descrição do emprego: java developer id:  8946966  data   08-10-2020  empregador   decskill - tecnologias de informação  país da emprego   portugal  distrito   lisboa  categoria s    informática e tecnologias  intervalo salarial   informação exclusiva jobmatch  descrição do anúncio  decskill is 100% portuguese technological company  founded in 2014  and we currently have more than 200 employees  decskill operates in both national and international markets  with offices in lisbon  oporto and a coruña  capable to provide services to any location in the national territory   how can decskill be an accelerator to your career?  we currently operate in 3 major areas: outsourcing by decskill  augmented reality and computer vision products and solutions  by proskill  and agile training and coaching  by getskill   the success of decskill is built from the inside out  with talented employees and constant evolution  with innovative aspirations and a commitment to make a difference   we are looking for a java developer for lisbon   required skills  » 3  years of experience in unix linux systems   » good experience in ci cd tools and technologies and  in general  in “infrastructure as code” solutions   » experience with one or more of the following virtualisations  containerization and automation technologies: ansible  docker  kubernetes   etc    » 3   experience working as a full stack java developer  with excellent knowledge in software design and clean code principles  with knowledge of the main integrated development environments  preferable eclipse or intellij idea   » good experience in designing and implementing apis  e g   restful architectures  soap services    » good experience of java build tools  maven  gradle  etc     » good knowledge of one or more of the following data definition languages: xml xsd   on   if you’re interested in this job please send your curriculum vitae in english with the reference “jfo_java_mob""  nível de experiência assistente setor tecnologia da informação e serviços software recrutamento e seleção tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação"
6,Oferta: Javascript Fullstack Developer (M/F) ? Porto,Talentseed,"Porto, Porto, Portugal",2-10 funcionários,0 candidatos,Anunciada há 1 semana,1,0,0,0,0,0,1,1,1,0,https://www.linkedin.com/jobs/view/2390178886/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=G8eQtrB4GKn9LPjE98VcSQ%3D%3D&trackingId=SwRJPEDdBBM2Xxs5lrxAhg%3D%3D&trk=flagship3_search_srp_jobs,distrito: porto - concelho: porto referência da oferta: talentseed referência da oferta: tempo inteiro referência da oferta: 22-4-2020 zona porto referência da oferta: informática   programação    referência da oferta  o seedsgroup é constituído por duas empresas: talentseed e itseeds  talentseed   empresa galardoada com prémio excelência rh em startups nos prémios rh2017  protocolada com a ordem dos psicólogos  que está a revolucionar o mercado de trabalho  permitindo às empresas acesso a plataformas e serviços online inovadores de gestão de talento   a itseeds é uma startup portuguesa com mentalidade global  especializada na criação de soluções customizadas na área de tecnologias e sistemas de informação  seja através de projectos de consultoria  outsourcing ou nearshore  temos uma vasta experiência na criação de plataformas tecnológicas inovadoras  somos uma equipa jovem  fun e com uma grande paixão pelo que fazemos! a inovação e apresentação de soluções tecnológicas são a nossa missão   a talentseed está neste momento a recrutar para  javascript fullstack developer  m f  porto  desafio o nosso cliente é uma empresa líder em plataformas de seguros online no mercado asiático  neste momento  encontra-se à procura de um javascript fullstack developer  para integrar a sua equipa e desenvolver soluções inovadoras de fintech e insurtech   referência da oferta  o candidato ideal deverá ter experiência sólida como software developer  com foco em node    experiência com react    angular   ou vue    são valorizados conhecimentos em desenvolvimento de microserviços  express    mongodb  redis ou docker   candidate-se através do link: br  > nível de experiência assistente setor tecnologia da informação e serviços recrutamento e seleção recursos humanos tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
8,Comerciais,Manso Group,"Porto, Porto, Portugal",11-50 funcionários,0 candidatos,Data do anúncio,0,0,0,0,0,0,0,0,0,0,https://www.linkedin.com/jobs/view/2398979335/?eBP=JOB_SEARCH_ORGANIC&refId=G8eQtrB4GKn9LPjE98VcSQ%3D%3D&trackingId=OMa%2FIu1%2BmtWf5PdbtZHh8w%3D%3D&trk=flagship3_search_srp_jobs,"trabalho na hora sobre contacto parceiros    exemplo: ""consultor""  ""designer  lisboa""  ""soldador  porto""   publicar novo anúncio  « página inicial  visto recentemente » comerciais » administrativa de cobranças  m f - vialonga » operador fabril - santa iria de azoia » director comercial » escritório de serviços  m f  » empregado de balcão  m f  fins de semana - part time- lisboa - urgente » copeiro  ajudante cozinha  m f  hotel em lisboa » reforço para equipa comercial  folga ao fim-de-semana  » full stack developer  m f  » callcenter pt 10-14h  cabo ruivo  m f   anúncio com mais de 180 dias   0 respostas  comerciais  re max pinheiro manso   porto  a re max é uma marca que tem sido considerada pela revista exame como uma das melhores empresas para trabalhar em portugal! em 2015  o crescimento da marca em portugal excedeu todas as expectativas e conseguiu atingir os melhores resultados de sempre   a agência re max pinheiro manso está neste momento à procura de comerciais  m f  para o distrito do porto  que venha adicionar valor à sua já conceituada equipa   descrição da função  gestão de carteira de clientes e de imóveis  análise de mercado e elaboração do plano comercial  negociação direta com proprietários e compradores   requisitos  profissional altamente motivado para trabalhar de forma responsável e autónoma  dinâmico  organizado  com espírito de iniciativa e de equipa  capacidades de comunicação  argumentação  atendimento  negociação e apresentação de soluções   oferta  remuneração aliciante  formação  acompanhamento inicial  contínuo e certificado  excelentes ferramentas de marketing e tecnológicas  horário flexível   comece já hoje a construir a sua carreira! seja um empresário de sucesso e crie já o seu próprio negócio! envie hoje o seu cv para vdalves@remax pt ou 912787027  anúncios recentes de re max pinheiro manso  comerciais   re max pinheiro manso   porto 24-09-2017  gestor de clientes   re max pinheiro manso   porto 24-09-2017  profissionais com experiência   re max pinheiro manso   porto 24-09-2017  comerciais   re max pinheiro manso   porto 24-09-2017  comerciais   re max pinheiro manso   porto 24-09-2017  « voltar anúncio falso? reportar! recomendar a um amigo  publicado em 23-07-2017 visualizações: 642  e-mail do amigo: seu e-mail: nível de experiência não aplicável setor marketing e publicidade recrutamento e seleção recursos humanos tipo de emprego meio período funções de trabalho outro"
10,Oferta: Senior Full Stack Developer,Softinsa,"Santarém, Santarém, Portugal",1.001-5.000 funcionários,0 candidatos,Anunciada há 1 mês,0,0,1,0,0,1,0,0,0,0,https://www.linkedin.com/jobs/view/2385601128/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=G8eQtrB4GKn9LPjE98VcSQ%3D%3D&trackingId=jtJ8QHND%2FV39XVLYcHr3eA%3D%3D&trk=flagship3_search_srp_jobs,oferta: senior full stack developer:softinsa  descrição do emprego  senior full stack developer » softinsa  » ref: 7110614  » 22-11-2020  » santarem  » informática   programação    detalhe da oferta  a softinsa  empresa do grupo ibm  é especialista na oferta de serviços profissionais integrados no âmbito das referência da oferta:  conta atualmente com uma equipa composta por mais de 1000 técnicos e consultores especializados no desenvolvimento  implementação e gestão das soluções que melhor se adaptam às necessidades dos seus clientes  contribuindo para que as suas empresas sejam mais competitivas e rentáveis   com o objetivo de fazer face ao forte crescimento da sua atividade  a softinsa referência da oferta: senior full stack developer   descrição do perfil licenciatura em engenharia informática  informática de gestão ou outra similar  experiência profissional igual ou superior a 5 anos em projetos de desenvolvimento aplicacional  experiência em desenvolvimento full stack com conhecimentos avançados em  net  conhecimentos avançados em desenvolvimento frontend e backend  sólidos conhecimentos em c# e sql server  elevado sentido de responsabilidade e proatividade  bons conhecimentos de inglês falado e escrito  referência da oferta:: tomar  referência da oferta integração em equipa jovem e dinâmica  acesso a formação inicial e contínua de softskills e competências técnicas  integração em projetos de âmbito internacional  excelentes condições para progressão profissional  acesso a tecnologias diferenciadoras no mercado  --  para se candidatar a esta vaga  por favor utilize o nosso formulário de candidatura  disponível aqui  nível de experiência júnior setor tecnologia da informação e serviços software recursos humanos tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
12,Fullstack Java Developer (m/f/div),Natixis in Portugal,"Porto, Portugal",1.001-5.000 funcionários,56 candidatos,Anunciada há 1 dia,0,0,0,0,0,1,0,0,0,1,https://www.linkedin.com/jobs/view/2332000801/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=G8eQtrB4GKn9LPjE98VcSQ%3D%3D&trackingId=z9QLNlbU89Ies8s25Bkg9w%3D%3D&trk=flagship3_search_srp_jobs,anunciada por sofia costa 2° it talent acquisition at natixis in portugal envie inmail we are looking for a fullstack java developer  local contract  to join our risk amerisc team in porto   within natixis dosi  it and operations   rpa  risks  p&l and alm  department covers software requirements for risks business line which involves calculation  monitoring and workflow for a wide range of risks  counterparty  market  credit and operational risks  as well as solvency   this team works within the risk credit & counterparties  specifically in charge of natixis counterparty risk engine – amerisc  the scope is in it banking risks environment  within the context of investment banking environment  market data  pricing positions  risks indicators     main tasks & responsibilities:  it developments & enhancement tasks in coordination with it risks business analysts and management team in paris  technical analysis  development  tests and documentation  parallel run & releases  main requirements:  experience as full stack java developer using java  version 1 8x   knowledge of pl sql  sybase or ms sql server : knowledge of unix scripting    optional requirements  not mandatory :  experience as full stack developer using c     version < v11   general hadoop notions  as we‘re using hbase since mid 2017   knowledge of control ^m or $universe scheduler  hands on experience of git and of its branching strategies  knowledge of perl scripting   other requirements:  good level of english - minimum b2  mandatory   strong communication skills  dynamic attitude and positive mindset  interest in investment banking activities and motivation to understand the business  ability to work collaboratively as part of a team  high professional ethics and humility    #muchmorethanjustajob early morning  campo 24 de agosto  in 4 minutes  you are clocking in at the office  after grabbing a cup of coffee and fresh fruit  pick up your laptop and choose your spot for the day  it's going to be a busy one: french class before lunch and  just after  quick medical appointment at natixis doctor's office  lunch break  outside in the big terrace  look at your crops at the urban garden  ready to harvest!  or  if you feel like stretching your legs  walk downtown to grab lunch  back inside  quick sprint review  working together anywhere means virtual happy birthday to that colleague in paris that just turned 35   the afternoon went flying  tasks  reports  calls  some jokes with your teammates   end it on a high note: just one playstation game or the final match for that ping-pong tournament  tomorrow  you complete that certified technical training and the day after  you will work from home  taking advantage to finally do that online course on udemy  once you are done with your tasks for the day  you can visit the office for a board games session or show up at the rehearsal of one of natixis bands  if that is too steady for you  meet your colleagues to surf some waves or join them in a football match  nível de experiência pleno-sênior setor tecnologia da informação e serviços tipo de emprego tempo integral funções de trabalho tecnologia da informação
14,Full Stack Software Engineer (m/f),PRIMAVERA Business Software Solutions,"Braga, Braga, Portugal",Check link,0 candidatos,Anunciada há 1 semana,0,0,1,0,0,1,1,0,0,0,https://www.linkedin.com/jobs/view/2392049670/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=G8eQtrB4GKn9LPjE98VcSQ%3D%3D&trackingId=XfRF%2FAlDp425U49jaXH7mA%3D%3D&trk=flagship3_search_srp_jobs,@ innovation & new technologies o departamento innovation & new technologies é reponsável pela investigação e implementação nos produtos primavera das tecnologias state-of-the-art e melhores práticas de desenvolvimento de software existentes  subdivide-se em 3 grandes áreas: framework de desenvolvimento web  microsserviços e user experience   se és um engenheiro que gosta de aprender todos os dias  esta é a equipa que procuras!  o desafio que temos para ti  serás responsável por  integrar a equipa framework que  sendo feita à medida da primavera e com recurso às melhores tecnologias  eleva a agilidade  padronização e qualidade do desenvolvimento de produtos web  tornando-os diferenciados no mercado  desenvolver novas funcionalidades backend e frontend nesta framework  e realizar pontualmente manutenção às mesmas contribuir ativamente para a inovação e evolução deste produto  explorando e implementando continuamente novas tecnologias realizar code reviews técnicos  trabalhar em equipa com metodologia scrum o que procuramos formação superior em eng  informática ou equivalente experiencia mínima de 3 anos em funções de engenharia de software  com metodologias ágeis sólidos conhecimentos em c#  asp net   net core  sql server e angular  typescript  experiência em arquiteturas cloud  preferencialmente azure  forte capacidade analítica e de resolução de problemas inglês  leitura  primavera business software solutions a primavera é o resultado de uma ideia disruptiva e determinação contínua que  desde 1993  junta um ecossistema de 500 parceiros e mais de 40 mil clientes espalhados por cerca de 20 países  acreditamos na importância de simplificar a vida das organizações e das pessoas  mas não nos ficamos por aqui: deixamos a marca um pouco por todo o mundo  sempre com o foco na criação de valor e soluções inovadoras que respondem às exigências das empresas de todas as dimensões e setores de atividade  acreditamos que a tecnologia é o motor da gestão empresarial numa era digital cada vez mais exigente!  life at primavera ¤ o teu bem-estar é a nossa prioridade e por isso preocupamo-nos com o work-life balance e em proporcionarmos experiências únicas ¤ work hard  play harder! grandes conquistas e ainda maiores celebrações  sempre em equipa ¤ participação em projetos desafiantes e inovadores  com elevado impacto nos clientes ¤ acesso a oportunidades e experiências únicas de aprendizagem ¤ acreditamos em carreiras de sucesso e proporcionamos um mapa detalhado para que possas construir à tua medida o teu próprio percurso  do it simple  but make it count! your journey starts now!  web:13 57 176 210:linkedinbot 1 0  compatible  mozilla 5 0   http:  www linkedin com :2021-01-28 05:41:19 nível de experiência assistente setor tecnologia da informação e serviços software consultoria de gerenciamento tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
16,iOS Developer,GoodBarber,"Coimbra, Coimbra, Portugal",Check link,0 candidatos,Anunciada há 1 semana,0,0,0,0,0,0,1,0,0,0,https://www.linkedin.com/jobs/view/2399426443/?eBP=JOB_SEARCH_ORGANIC&refId=G8eQtrB4GKn9LPjE98VcSQ%3D%3D&trackingId=SIk7tfRZEyMSeb0CHAr7nA%3D%3D&trk=flagship3_search_srp_jobs,job description  our frontend engineering team is looking for a senior ios developer to join our team in our office in coimbra  portugal   goodbarber has its own app builder mechanism  that's so  you won't just be working on an app  but the engine that will be used to create thousands of apps  you will collaborate closely with product  design and qa to spec  build  test and deploy new features   you will work under supervision on various sized projects  even if you are an ios expert  you will also have the possibility of working on different technologies  like android or angular  it will depends on your motivation to accept a new challenge in a different technology   our team is spread in this different offices ajaccio  corsica   france [hq] team size: 40 employees  departments: administration  product development  engineering  marketing  customer support  office location: coimbra  portugal team size: 5 - 9 employees departments: engineering office location: lisbon  portugal departments: customer support office location: new york city  usa departments: customer support office location: if you join our team  you will not just work with our team in coimbra  you will always be in constant communication with the rest of the team from our office in corsica  for that reason we do some regular trips to corsica  to be in touch with the rest of the team  also  during the time we work remotely from coimbra  we have daily meetings with all our team and keep in touch all the time   although  in coimbra you will join a community of other companies that is part of nest collective  you can find some of the events organized by this community here and here    here are some pictures of some of our office rooms in coimbra  feel free to visit us and say hi  missions & responsibilities craft new and improved features for the goodbarber engine analyze functional specifications  written by the functional project manager  and contribute to technical specifications  under the management of the technical lead  identification of the right technical solutions  definition of the technical architecture for given projects  within the general framework rapidly solve problems optimize the existing code for ease of use and performance prototype product concepts proactively look for ways to make the project better you’ll be part of the mobile team  to develop our core engine for ios motivation to learn new technologies what to find at goodbarber? job location: coimbra  portugal    fun  happy and politics-free work culture built on the principles of lean and self-organized be part of a international team work with a distributed team competitive salary full working desk: macbook pro  desktop monitor  among others covered parking spot  on parque horizonte  paid by company work in the downtown of coimbra 25 days of vacations regular trips to meet with our team in corsica  warning: risk of addiction to that beautiful island  joining the nest collective community  lots of fun with these guys  opportunity to learn and work in other frontend technologies work in our own product where our only stakeholders are in fact part of our team you don't have to manage our clients issues  you just have to focus on developing a high quality software  our support team will take care of our client issues   goodbarber is ranked as the 128th in the ft1000 europe’s fastest-growing companies  requirements 2y  of experience with ios sdk strong knowledge working with objective-c or swift experience with swift and auto layout strong experience consuming restful web services some published apps with relative success on the store keep updated with the most recent features of apple ecosystem strong oral and written english communication skills strong knowledge of git collaborative attitude when working with other team members strong problem solving skills backend and or full stack development experience is a plus experience in working on scrum methodology  if you think you have the right profile for the job  please apply using this form: nível de experiência assistente setor tecnologia da informação e serviços software internet tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
18,Software Engineer-Full-stack (M/F),Spring Professional,"Porto, Porto, Portugal",Check link,0 candidatos,Anunciada há 3 meses,1,0,0,0,0,1,0,0,0,1,https://www.linkedin.com/jobs/view/2265963306/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=G8eQtrB4GKn9LPjE98VcSQ%3D%3D&trackingId=4RelbWuldhUeDy2jrjsDrw%3D%3D&trk=flagship3_search_srp_jobs,responsabilidades  – implementação de enterprise web applications baseadas em tecnologia java   perfil  – formação na área da engenharia informática  – paixão por tecnologia  – autonomia  iniciativa e proatividade  – orientação a resultados e à entrega  – conhecimentos de apache struts  – conhecimentos de spring  hibernate  maven e eclipse  – conhecimentos de liquibase  – conhecimentos de tapestry 5  – conhecimentos de css3 e jquery ui   – experiência desenvolvimento de aplicações web em java  – conhecimentos de html  css e javascript  – conhecimentos de sql  – capacidade de trabalhar em equipa  de propôr novas ideias  discutir e procurar consensos  nível de experiência assistente setor tecnologia da informação e serviços recursos humanos varejo tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
